ID;clade;date;province;district;municipality;village;latitude;longitude;country;source;dataset;host;type;continent;year;identified_as_RABV;major_clade;minor_clade;closest_full_genome_reference_sequence;coverage_N;coverage_P;coverage_M;coverage_G;coverage_L;location;full_name
KM366202;Asian;2008-10-30;Takeo;Baty;Lumpong;TRAPAING KRALANH;11,318;104,765;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Takeo-Baty-Lumpong-TrapaingKralanh;KM366202_Dog_2008-10-30_Cambodia-Takeo-Baty-Lumpong-TrapaingKralanh_11.318_104.765
KM366203;Asian;2006-01-02;Battambang;Battambang;O Cha;ANGDONG CHENH;13,104;103,174;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Battambang-Battambang-OCha-AngdongChenh;KM366203_Dog_2006-01-02_Cambodia-Battambang-Battambang-OCha-AngdongChenh_13.104_103.174
KM366204;Asian;2004-09-01;Siem Reap;Puok;Doung Keo;KOUK PHNAO;13,473;103,756;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-SiemReap-Puok-DoungKeo-KoukPhnao;KM366204_Dog_2004-09-01_Cambodia-SiemReap-Puok-DoungKeo-KoukPhnao_13.473_103.756
KM366205;Asian;2010-07-17;Prey Veng;Pearaing;Kampong Popil;KHSAM TBONG;11,643;105,159;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PreyVeng-Pearaing-KampongPopil-KhsamTbong;KM366205_Dog_2010-07-17_Cambodia-PreyVeng-Pearaing-KampongPopil-KhsamTbong_11.643_105.159
KM366206;Asian;2004-05-04;Kg Chhnang;Toek Phus;Kraing Ske;PRA SHET;12,22;104,464;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgChhnang-ToekPhus-KraingSke-PraShet;KM366206_Dog_2004-05-04_Cambodia-KgChhnang-ToekPhus-KraingSke-PraShet_12.22_104.464
KM366207;Asian;2007-09-19;Kandal;Ponhieleu;Chhvang;TA AUK;11,688;104,789;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-Ponhieleu-Chhvang-TaAuk;KM366207_Dog_2007-09-19_Cambodia-Kandal-Ponhieleu-Chhvang-TaAuk_11.688_104.789
KM366208;Asian;2004-05-18;Prey Veng;Mesang;Svay Chrum;PO TAMOM;11,375;105,562;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PreyVeng-Mesang-SvayChrum-PoTamom;KM366208_Dog_2004-05-18_Cambodia-PreyVeng-Mesang-SvayChrum-PoTamom_11.375_105.562
KM366209;Asian;2002-05-16;Udoor Meanchey;Anloung Veng;Anloung Veng;TUOL KANDAL;14,229;104,104;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-UdoorMeanchey-AnloungVeng-AnloungVeng-TuolKandal;KM366209_Dog_2002-05-16_Cambodia-UdoorMeanchey-AnloungVeng-AnloungVeng-TuolKandal_14.229_104.104
KM366210;Asian;2000-08-06;Kampong Speu;Bosed;Por Muoy Real;TA NUON;11,138;104,55;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KampongSpeu-Bosed-PorMuoyReal-TaNuon;KM366210_Dog_2000-08-06_Cambodia-KampongSpeu-Bosed-PorMuoyReal-TaNuon_11.138_104.55
KM366211;Asian;2010-09-03;Kg Chhnang;Boribou;Po Peal;KRA CHY;12,407;104,447;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgChhnang-Boribou-PoPeal-KraChy;KM366211_Dog_2010-09-03_Cambodia-KgChhnang-Boribou-PoPeal-KraChy_12.407_104.447
KM366212;Asian;2008-06-14;Kandal;Khsach Kandal;Prek Ampil;PREK DAUNHEM;11,649;104,962;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kandal-KhsachKandal-PrekAmpil-PrekDaunhem;KM366212_Dog_2008-06-14_Cambodia-Kandal-KhsachKandal-PrekAmpil-PrekDaunhem_11.649_104.962
KM366213;Asian;1998-03-12;Kampong Chhnang;Kampong Tralach;Lonvaek;ANLONG TNOUT;11,891;104,712;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KampongChhnang-KampongTralach-Lonvaek-AnlongTnout;KM366213_Dog_1998-03-12_Cambodia-KampongChhnang-KampongTralach-Lonvaek-AnlongTnout_11.891_104.712
KM366214;Asian;2003-06-16;Phnom Penh;Meanchey;Chbar Ampov Ii;NA;11,537;104,939;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PhnomPenh-Meanchey-ChbarAmpovIi;KM366214_Dog_2003-06-16_Cambodia-PhnomPenh-Meanchey-ChbarAmpovIi_11.537_104.939
KM366215;Asian;2002-02-10;Takeo;Prey Kambass;Prek Pdov;SAYVAR;11,162;104,88;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Takeo-PreyKambass-PrekPdov-Sayvar;KM366215_Dog_2002-02-10_Cambodia-Takeo-PreyKambass-PrekPdov-Sayvar_11.162_104.88
KM366216;Asian;2010-05-20;Kg Speu;Kong Pisey;Sdok;TRAPAINGLEUK;11,216;104,616;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgSpeu-KongPisey-Sdok-Trapaingleuk;KM366216_Dog_2010-05-20_Cambodia-KgSpeu-KongPisey-Sdok-Trapaingleuk_11.216_104.616
KM366217;Asian;2009-03-25;Koh Kong;Botumsakor;Angdong Toek;ANGDONG TOEK;11,191;103,478;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2009;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KohKong-Botumsakor-AngdongToek-AngdongToek;KM366217_Dog_2009-03-25_Cambodia-KohKong-Botumsakor-AngdongToek-AngdongToek_11.191_103.478
KM366218;Asian;2003-11-07;Kampong Speu;Samroung Tong;Vorsar;CHAMBOK;11,472;104,566;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2003;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KampongSpeu-SamroungTong-Vorsar-Chambok;KM366218_Dog_2003-11-07_Cambodia-KampongSpeu-SamroungTong-Vorsar-Chambok_11.472_104.566
KM366219;Asian;2004-07-16;Kg Speu;Phnom Sruoch;Treng Trayoeng;PHUM 3;11,273;104,213;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgSpeu-PhnomSruoch-TrengTrayoeng-Phum3;KM366219_Dog_2004-07-16_Cambodia-KgSpeu-PhnomSruoch-TrengTrayoeng-Phum3_11.273_104.213
KM366220;Asian;2011-11-04;Kg Cham;Choeung Prey;Sdoeung Chey;KDOY;12,195;105,107;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgCham-ChoeungPrey-SdoeungChey-Kdoy;KM366220_Dog_2011-11-04_Cambodia-KgCham-ChoeungPrey-SdoeungChey-Kdoy_12.195_105.107
KM366221;Asian;2011-08-08;Kratie;Chhong;Prak Tamann;PREAK DACH;12,277;106,027;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Kratie-Chhong-PrakTamann-PreakDach;KM366221_Dog_2011-08-08_Cambodia-Kratie-Chhong-PrakTamann-PreakDach_12.277_106.027
KM366222;Asian;2011-06-27;Kg Thom;Baray;Chrolorng;HANTHVEA;12,267;105,126;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgThom-Baray-Chrolorng-Hanthvea;KM366222_Dog_2011-06-27_Cambodia-KgThom-Baray-Chrolorng-Hanthvea_12.267_105.126
KM366223;Asian;2010-02-24;Kg Cham;Kang Meas;Sour Kong;PREK KRUOS;11,982;105,18;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-KgCham-KangMeas-SourKong-PrekKruos;KM366223_Dog_2010-02-24_Cambodia-KgCham-KangMeas-SourKong-PrekKruos_11.982_105.18
KM366244;Asian;2000-12-22;Takeo;Baty;Cham Bak;TANOP;11,091;104,436;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Takeo-Baty-ChamBak-Tanop;KM366244_Dog_2000-12-22_Cambodia-Takeo-Baty-ChamBak-Tanop_11.091_104.436
KM366224;Asian;2000-08-02;Takeo;Tram Kak;Trapaing Kragnog;KDOUCH;11,236;104,794;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-Takeo-TramKak-TrapaingKragnog-Kdouch;KM366224_Dog_2000-08-02_Cambodia-Takeo-TramKak-TrapaingKragnog-Kdouch_11.236_104.794
KM366225;Asian;2011-10-18;Prey Veng;Ba Phnom;Cheu Kach;CHEU KACH;11,256;105,406;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2011;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PreyVeng-BaPhnom-CheuKach-CheuKach;KM366225_Dog_2011-10-18_Cambodia-PreyVeng-BaPhnom-CheuKach-CheuKach_11.256_105.406
KM366226;Asian;2001-03-24;Phnom Penh;Mean Chey;Niroude;TA NGOV;11,556;104,851;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2001;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-PhnomPenh-MeanChey-Niroude-TaNgov;KM366226_Dog_2001-03-24_Cambodia-PhnomPenh-MeanChey-Niroude-TaNgov_11.556_104.851
KM366227;Asian;2010-07-26;Svay Rieng;Svay Chrum;Tasok;BOENG ANDENG;11,528;104,939;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;NA;NA;NA;NA;NA;NA;NA;NA;NA;Cambodia-SvayRieng-SvayChrum-Tasok-BoengAndeng;KM366227_Dog_2010-07-26_Cambodia-SvayRieng-SvayChrum-Tasok-BoengAndeng_11.528_104.939
