ID;type;date;continent;country;province;district;municipality;village;latitude;longitude;host;source;clade;full_name;ml_tree;discrete_phylo_tree;continuous_phylo_tree
KM366202;N gene;2008-10-30;Southeast Asia;Cambodia;Takeo;Baty;Lumpong;TRAPAING KRALANH;11,318;104,765;Dog;GenBank;Asian SEA3;KM366202_Dog_2008-10-30_Cambodia-Takeo-Baty-Lumpong-TrapaingKralanh_11.318_104.765;yes;yes;n genes
KM366203;N gene;2006-01-02;Southeast Asia;Cambodia;Battambang;Battambang;O Cha;ANGDONG CHENH;13,104;103,174;Dog;GenBank;Asian SEA3;KM366203_Dog_2006-01-02_Cambodia-Battambang-Battambang-OCha-AngdongChenh_13.104_103.174;yes;yes;n genes
KM366204;N gene;2004-09-01;Southeast Asia;Cambodia;Siem Reap;Puok;Doung Keo;KOUK PHNAO;13,473;103,756;Dog;GenBank;Asian SEA3;KM366204_Dog_2004-09-01_Cambodia-SiemReap-Puok-DoungKeo-KoukPhnao_13.473_103.756;yes;yes;n genes
KM366205;N gene;2010-07-17;Southeast Asia;Cambodia;Prey Veng;Pearaing;Kampong Popil;KHSAM TBONG;11,643;105,159;Dog;GenBank;Asian SEA3;KM366205_Dog_2010-07-17_Cambodia-PreyVeng-Pearaing-KampongPopil-KhsamTbong_11.643_105.159;yes;yes;n genes
KM366206;N gene;2004-05-04;Southeast Asia;Cambodia;Kg Chhnang;Toek Phus;Kraing Ske;PRA SHET;12,22;104,464;Dog;GenBank;Asian SEA3;KM366206_Dog_2004-05-04_Cambodia-KgChhnang-ToekPhus-KraingSke-PraShet_12.22_104.464;yes;yes;n genes
KM366207;N gene;2007-09-19;Southeast Asia;Cambodia;Kandal;Ponhieleu;Chhvang;TA AUK;11,688;104,789;Dog;GenBank;Asian SEA3;KM366207_Dog_2007-09-19_Cambodia-Kandal-Ponhieleu-Chhvang-TaAuk_11.688_104.789;yes;yes;n genes
KM366208;N gene;2004-05-18;Southeast Asia;Cambodia;Prey Veng;Mesang;Svay Chrum;PO TAMOM;11,375;105,562;Dog;GenBank;Asian SEA3;KM366208_Dog_2004-05-18_Cambodia-PreyVeng-Mesang-SvayChrum-PoTamom_11.375_105.562;yes;yes;n genes
KM366209;N gene;2002-05-16;Southeast Asia;Cambodia;Udoor Meanchey;Anloung Veng;Anloung Veng;TUOL KANDAL;14,229;104,104;Dog;GenBank;Asian SEA3;KM366209_Dog_2002-05-16_Cambodia-UdoorMeanchey-AnloungVeng-AnloungVeng-TuolKandal_14.229_104.104;yes;yes;n genes
KM366210;N gene;2000-08-06;Southeast Asia;Cambodia;Kampong Speu;Bosed;Por Muoy Real;TA NUON;11,138;104,55;Dog;GenBank;Asian SEA3;KM366210_Dog_2000-08-06_Cambodia-KampongSpeu-Bosed-PorMuoyReal-TaNuon_11.138_104.55;yes;yes;n genes
KM366211;N gene;2010-09-03;Southeast Asia;Cambodia;Kg Chhnang;Boribou;Po Peal;KRA CHY;12,407;104,447;Dog;GenBank;Asian SEA3;KM366211_Dog_2010-09-03_Cambodia-KgChhnang-Boribou-PoPeal-KraChy_12.407_104.447;yes;yes;n genes
