ID;date;province;district;municipality;village;latitude;longitude;country;source;dataset;host;type;continent;year;location;full_name
KM366202;2008-10-30;Takeo;Baty;Lumpong;TRAPAING KRALANH;11.318;104.765;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2008;Cambodia-Takeo-Baty-Lumpong-TrapaingKralanh;KM366202_Dog_2008-10-30_Cambodia-Takeo-Baty-Lumpong-TrapaingKralanh_11.318_104.765
KM366203;2006-01-02;Battambang;Battambang;O Cha;ANGDONG CHENH;13.104;103.174;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2006;Cambodia-Battambang-Battambang-OCha-AngdongChenh;KM366203_Dog_2006-01-02_Cambodia-Battambang-Battambang-OCha-AngdongChenh_13.104_103.174
KM366204;2004-09-01;Siem Reap;Puok;Doung Keo;KOUK PHNAO;13.473;103.756;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;Cambodia-SiemReap-Puok-DoungKeo-KoukPhnao;KM366204_Dog_2004-09-01_Cambodia-SiemReap-Puok-DoungKeo-KoukPhnao_13.473_103.756
KM366205;2010-07-17;Prey Veng;Pearaing;Kampong Popil;KHSAM TBONG;11.643;105.159;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;Cambodia-PreyVeng-Pearaing-KampongPopil-KhsamTbong;KM366205_Dog_2010-07-17_Cambodia-PreyVeng-Pearaing-KampongPopil-KhsamTbong_11.643_105.159
KM366206;2004-05-04;Kg Chhnang;Toek Phus;Kraing Ske;PRA SHET;12.22;104.464;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;Cambodia-KgChhnang-ToekPhus-KraingSke-PraShet;KM366206_Dog_2004-05-04_Cambodia-KgChhnang-ToekPhus-KraingSke-PraShet_12.22_104.464
KM366207;2007-09-19;Kandal;Ponhieleu;Chhvang;TA AUK;11.688;104.789;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2007;Cambodia-Kandal-Ponhieleu-Chhvang-TaAuk;KM366207_Dog_2007-09-19_Cambodia-Kandal-Ponhieleu-Chhvang-TaAuk_11.688_104.789
KM366208;2004-05-18;Prey Veng;Mesang;Svay Chrum;PO TAMOM;11.375;105.562;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2004;Cambodia-PreyVeng-Mesang-SvayChrum-PoTamom;KM366208_Dog_2004-05-18_Cambodia-PreyVeng-Mesang-SvayChrum-PoTamom_11.375_105.562
KM366209;2002-05-16;Udoor Meanchey;Anloung Veng;Anloung Veng;TUOL KANDAL;14.229;104.104;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2002;Cambodia-UdoorMeanchey-AnloungVeng-AnloungVeng-TuolKandal;KM366209_Dog_2002-05-16_Cambodia-UdoorMeanchey-AnloungVeng-AnloungVeng-TuolKandal_14.229_104.104
KM366210;2000-08-06;Kampong Speu;Bosed;Por Muoy Real;TA NUON;11.138;104.55;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2000;Cambodia-KampongSpeu-Bosed-PorMuoyReal-TaNuon;KM366210_Dog_2000-08-06_Cambodia-KampongSpeu-Bosed-PorMuoyReal-TaNuon_11.138_104.55
KM366211;2010-09-03;Kg Chhnang;Boribou;Po Peal;KRA CHY;12.407;104.447;Cambodia;Mey et al., 2016;Mey et al., 2016;Dog;N gene;Southeast Asia;2010;Cambodia-KgChhnang-Boribou-PoPeal-KraChy;KM366211_Dog_2010-09-03_Cambodia-KgChhnang-Boribou-PoPeal-KraChy_12.407_104.447
